dataset,profile,cost_mode,segment_type,segment_value,n_test,tie_count,tie_rate,coverage_count,coverage_rate,disagree_count,disagree_rate_all,disagree_rate_covered
combo,q80_c20,net,pattern,conditional_branch,9,4,0.4444444444444444,5,0.5555555555555556,0,0.0,0.0
combo,q80_c20,delta_net_minus_gross,pattern,conditional_branch,9,-1,-0.11111111111111116,1,0.11111111111111116,0,0.0,0.0
combo,q50_c50,gross,pattern,conditional_branch,9,5,0.5555555555555556,4,0.4444444444444444,0,0.0,0.0
combo,q50_c50,net,pattern,conditional_branch,9,4,0.4444444444444444,5,0.5555555555555556,0,0.0,0.0
combo,q50_c50,delta_net_minus_gross,pattern,conditional_branch,9,-1,-0.11111111111111116,1,0.11111111111111116,0,0.0,0.0
combo,q20_c80,gross,pattern,conditional_branch,9,3,0.3333333333333333,6,0.6666666666666666,0,0.0,0.0
combo,q20_c80,net,pattern,conditional_branch,9,3,0.3333333333333333,6,0.6666666666666666,0,0.0,0.0
combo,q20_c80,delta_net_minus_gross,pattern,conditional_branch,9,0,0.0,0,0.0,0,0.0,0.0
combo,q80_c20,gross,pattern,conditional_delta,8,5,0.625,3,0.375,0,0.0,0.0
combo,q80_c20,net,pattern,conditional_delta,8,2,0.25,6,0.75,0,0.0,0.0
combo,q80_c20,delta_net_minus_gross,pattern,conditional_delta,8,-3,-0.375,3,0.375,0,0.0,0.0
combo,q50_c50,gross,pattern,conditional_delta,8,5,0.625,3,0.375,0,0.0,0.0
combo,q50_c50,net,pattern,conditional_delta,8,2,0.25,6,0.75,0,0.0,0.0
combo,q50_c50,delta_net_minus_gross,pattern,conditional_delta,8,-3,-0.375,3,0.375,0,0.0,0.0
combo,q20_c80,gross,pattern,conditional_delta,8,4,0.5,4,0.5,1,0.125,0.25
combo,q20_c80,net,pattern,conditional_delta,8,0,0.0,8,1.0,1,0.125,0.125
combo,q20_c80,delta_net_minus_gross,pattern,conditional_delta,8,-4,-0.5,4,0.5,0,0.0,-0.125
combo,q80_c20,gross,pattern,conditional_hierarchical,9,4,0.4444444444444444,5,0.5555555555555556,1,0.1111111111111111,0.2
combo,q80_c20,net,pattern,conditional_hierarchical,9,1,0.1111111111111111,8,0.8888888888888888,1,0.1111111111111111,0.125
combo,q80_c20,delta_net_minus_gross,pattern,conditional_hierarchical,9,-3,-0.3333333333333333,3,0.33333333333333326,0,0.0,-0.07500000000000001
combo,q50_c50,gross,pattern,conditional_hierarchical,9,4,0.4444444444444444,5,0.5555555555555556,1,0.1111111111111111,0.2
combo,q50_c50,net,pattern,conditional_hierarchical,9,2,0.2222222222222222,7,0.7777777777777778,1,0.1111111111111111,0.14285714285714285
combo,q50_c50,delta_net_minus_gross,pattern,conditional_hierarchical,9,-2,-0.2222222222222222,2,0.2222222222222222,0,0.0,-0.05714285714285716
combo,q20_c80,gross,pattern,conditional_hierarchical,9,3,0.3333333333333333,6,0.6666666666666666,1,0.1111111111111111,0.16666666666666666
combo,q20_c80,net,pattern,conditional_hierarchical,9,2,0.2222222222222222,7,0.7777777777777778,1,0.1111111111111111,0.14285714285714285
combo,q20_c80,delta_net_minus_gross,pattern,conditional_hierarchical,9,-1,-0.1111111111111111,1,0.11111111111111116,0,0.0,-0.023809523809523808
